respondent,group,Frequent usage,System complexity,Ease of use,Need for technical support,Integration of functions,Inconsistency,Ease of learning,Cumbersome to use,Confidence in use,Need to learn before use
1,C,3,1,5,1,5,1,5,1,4,1
2,C,4,1,4,1,5,1,5,1,4,1
3,B,2,1,3,1,2,4,4,5,5,2
4,C,4,1,5,1,3,1,2,1,5,1
5,C,5,1,5,1,5,1,5,1,5,1
6,A,5,1,4,1,5,1,5,1,5,1
7,D,5,1,5,1,4,1,3,1,5,1
8,B,2,1,2,1,5,1,5,4,3,2
9,C,2,3,1,5,1,5,1,3,2,4
10,D,5,1,4,2,5,1,5,1,5,2
11,A,1,1,5,5,5,1,5,1,3,3
12,D,3,2,5,2,5,2,5,2,4,2
13,A,3,1,5,1,5,1,5,1,5,1
14,B,4,1,4,1,3,1,5,1,4,3
15,C,2,2,4,1,5,1,4,1,4,2
16,B,3,1,5,1,5,1,5,1,5,1
17,C,5,1,5,1,5,1,5,1,5,1
18,D,3,1,4,1,4,1,5,1,4,1
19,C,1,1,5,1,3,1,4,2,4,2
20,C,1,1,5,1,4,1,4,1,4,4
21,A,2,1,1,3,1,1,1,5,4,2
22,C,1,2,4,1,4,5,4,2,4,2
23,B,4,1,4,3,4,2,4,1,2,3
24,C,2,5,2,4,1,4,2,4,1,3
25,D,3,3,3,3,3,4,1,3,5,5
26,B,3,2,4,2,4,2,4,2,4,4
27,C,1,4,2,4,2,4,2,5,2,4
28,A,5,1,5,1,5,1,5,1,5,4
29,D,4,1,4,1,4,1,5,1,4,1
30,C,3,1,5,1,5,1,5,1,5,1
31,D,2,1,2,2,4,1,3,3,1,1
32,B,5,1,5,1,5,1,5,1,5,1
33,C,3,1,5,1,5,1,5,1,4,1
34,A,1,4,5,4,4,1,2,1,5,1
35,A,1,5,1,5,1,5,1,5,1,3
36,B,1,1,5,1,5,1,5,1,4,1
37,C,4,1,5,2,5,1,5,1,5,1
38,A,3,1,5,3,5,1,4,1,5,5
39,C,2,4,1,1,5,4,2,4,4,4
40,D,5,1,5,1,4,1,5,1,5,1
41,D,5,1,5,4,5,1,4,1,4,3
42,A,5,1,5,5,5,1,5,1,5,3
43,C,3,1,5,1,5,1,3,1,5,1
44,B,3,2,5,1,2,1,3,1,1,4
45,D,5,1,4,1,5,1,4,1,4,1
46,A,1,1,1,2,1,2,1,1,3,1
47,D,4,1,4,1,5,1,3,1,5,2
48,D,5,1,5,1,5,1,5,1,5,1
49,D,4,5,5,4,5,4,4,1,4,5
50,C,1,1,5,1,5,2,4,2,4,1
51,C,4,1,5,1,5,1,5,1,5,1
52,C,4,1,4,1,4,2,5,1,3,4
53,C,5,1,5,1,5,1,5,1,5,1
54,C,4,1,5,3,5,1,5,1,4,1
55,A,2,1,2,1,3,1,4,4,2,4
56,A,5,2,4,1,5,1,5,1,5,1
57,B,5,1,5,1,4,1,5,1,5,1
58,D,2,1,5,1,3,1,4,1,4,1
59,A,5,1,5,1,5,1,5,1,5,1
60,D,1,1,5,1,4,2,4,1,4,2
61,B,1,5,2,4,1,4,2,5,1,5
62,C,1,1,5,1,4,1,1,1,5,1
63,D,5,1,5,1,5,1,4,1,5,1
64,D,1,3,2,5,2,4,2,4,2,5
65,A,2,1,5,5,2,4,3,1,3,4
66,B,4,1,5,1,5,2,5,1,5,2
67,A,4,1,5,1,5,1,5,1,5,1
68,B,4,3,4,4,5,2,5,1,4,1
69,B,3,4,5,3,5,5,5,1,4,1
70,C,5,1,5,1,5,1,5,1,5,1
71,D,3,1,5,1,4,2,5,1,4,1
72,A,5,1,5,1,5,1,5,1,5,4
73,C,1,1,4,1,4,1,5,1,5,1
74,D,5,1,5,1,5,3,5,1,5,1
75,A,1,1,3,1,2,4,4,1,4,5
76,A,1,1,5,1,4,2,5,2,5,5
77,D,5,1,5,1,4,1,5,1,5,1
78,D,1,1,3,4,4,4,3,2,2,5
79,B,5,1,5,2,5,1,5,1,5,1
80,A,5,1,5,3,4,1,5,1,4,4
81,A,1,1,5,2,4,2,5,2,4,2
82,C,1,1,4,1,4,1,5,2,4,5
83,D,2,1,5,1,5,1,5,3,5,2
84,B,3,3,1,2,4,1,2,4,5,1
85,D,5,1,5,1,5,2,5,1,5,1
86,A,4,5,1,5,5,3,5,5,4,2
87,C,1,2,3,1,3,5,3,1,5,3
88,C,2,2,5,2,4,3,4,2,5,1
89,A,4,2,3,2,5,3,5,1,5,3
90,D,5,1,5,2,5,2,5,2,5,1
