respondent,Frequent usage,System complexity,Ease of use,Need for technical support,Integration of functions,Inconsistency,Ease of learning,Cumbersome to use,Confidence in use,Need to learn before use
1,3,1,5,1,5,1,5,1,4,1
2,4,1,4,1,5,1,5,1,4,1
3,2,1,3,1,2,4,4,5,5,2
4,4,1,5,1,3,1,2,1,5,1
5,5,1,5,1,5,1,5,1,5,1
6,5,1,4,1,5,1,5,1,5,1
7,5,1,5,1,4,1,3,1,5,1
8,2,1,2,1,5,1,5,4,3,2
9,2,3,1,5,1,5,1,3,2,4
10,5,1,4,2,5,1,5,1,5,2
11,1,1,5,5,5,1,5,1,3,3
12,3,2,5,2,5,2,5,2,4,2
13,3,1,5,1,5,1,5,1,5,1
14,4,1,4,1,3,1,5,1,4,3
15,2,2,4,1,5,1,4,1,4,2
16,3,1,5,1,5,1,5,1,5,1
17,5,1,5,1,5,1,5,1,5,1
18,3,1,4,1,4,1,5,1,4,1
19,1,1,5,1,3,1,4,2,4,2
20,1,1,5,1,4,1,4,1,4,4
21,2,1,1,3,1,1,1,5,4,2
22,1,2,4,1,4,5,4,2,4,2
23,4,1,4,3,4,2,4,1,2,3
24,2,5,2,4,1,4,2,4,1,3
25,3,3,3,3,3,4,1,3,5,5
26,3,2,4,2,4,2,4,2,4,4
27,1,4,2,4,2,4,2,5,2,4
28,5,1,5,1,5,1,5,1,5,4
29,4,1,4,1,4,1,5,1,4,1
30,3,1,5,1,5,1,5,1,5,1
31,2,1,2,2,4,1,3,3,1,1
32,5,1,5,1,5,1,5,1,5,1
33,3,1,5,1,5,1,5,1,4,1
34,1,4,5,4,4,1,2,1,5,1
35,1,5,1,5,1,5,1,5,1,3
36,1,1,5,1,5,1,5,1,4,1
37,4,1,5,2,5,1,5,1,5,1
38,3,1,5,3,5,1,4,1,5,5
39,2,4,1,1,5,4,2,4,4,4
40,5,1,5,1,4,1,5,1,5,1
41,5,1,5,4,5,1,4,1,4,3
42,5,1,5,5,5,1,5,1,5,3
43,3,1,5,1,5,1,3,1,5,1
44,3,2,5,1,2,1,3,1,1,4
45,5,1,4,1,5,1,4,1,4,1
46,1,1,1,2,1,2,1,1,3,1
47,4,1,4,1,5,1,3,1,5,2
48,5,1,5,1,5,1,5,1,5,1
49,4,5,5,4,5,4,4,1,4,5
50,1,1,5,1,5,2,4,2,4,1
51,4,1,5,1,5,1,5,1,5,1
52,4,1,4,1,4,2,5,1,3,4
53,5,1,5,1,5,1,5,1,5,1
54,4,1,5,3,5,1,5,1,4,1
55,2,1,2,1,3,1,4,4,2,4
56,5,2,4,1,5,1,5,1,5,1
57,5,1,5,1,4,1,5,1,5,1
58,2,1,5,1,3,1,4,1,4,1
59,5,1,5,1,5,1,5,1,5,1
60,1,1,5,1,4,2,4,1,4,2
61,1,5,2,4,1,4,2,5,1,5
62,1,1,5,1,4,1,1,1,5,1
63,5,1,5,1,5,1,4,1,5,1
64,1,3,2,5,2,4,2,4,2,5
65,2,1,5,5,2,4,3,1,3,4
66,4,1,5,1,5,2,5,1,5,2
67,4,1,5,1,5,1,5,1,5,1
68,4,3,4,4,5,2,5,1,4,1
69,3,4,5,3,5,5,5,1,4,1
70,5,1,5,1,5,1,5,1,5,1
71,3,1,5,1,4,2,5,1,4,1
72,5,1,5,1,5,1,5,1,5,4
73,1,1,4,1,4,1,5,1,5,1
74,5,1,5,1,5,3,5,1,5,1
75,1,1,3,1,2,4,4,1,4,5
76,1,1,5,1,4,2,5,2,5,5
77,5,1,5,1,4,1,5,1,5,1
78,1,1,3,4,4,4,3,2,2,5
79,5,1,5,2,5,1,5,1,5,1
80,5,1,5,3,4,1,5,1,4,4
81,1,1,5,2,4,2,5,2,4,2
82,1,1,4,1,4,1,5,2,4,5
83,2,1,5,1,5,1,5,3,5,2
84,3,3,1,2,4,1,2,4,5,1
85,5,1,5,1,5,2,5,1,5,1
86,4,5,1,5,5,3,5,5,4,2
87,1,2,3,1,3,5,3,1,5,3
88,2,2,5,2,4,3,4,2,5,1
89,4,2,3,2,5,3,5,1,5,3
90,5,1,5,2,5,2,5,2,5,1
